因子代码	因子名称	显示单位(实时数据|累计数据)	显示精度	操作
a20025	镉及其化合物	mg/m3|kg	3	修改  删除
a20026	镉	ng/m3|g	3	修改  删除
a20043	铅及其化合物	mg/m3|kg	3	修改  删除
a20044	铅	ng/m3|g	3	修改  删除
a20057	汞及其化合物	mg/m3|kg	3	修改  删除
a20058	汞	ng/m3|g	3	修改  删除
a20063	镍及其化合物	mg/m3|kg	3	修改  删除
a20091	锡及其化合物	mg/m3|kg	3	修改  删除
a21001	氨（氨气）	ng/m3|g	3	修改  删除
a21001z	氨（氨气）折算	ng/m3|g	3	修改  删除
a21002	氮氧化物	mg/m3|kg	3	修改  删除
a21002z	氮氧化物折算	mg/m3|kg	3	修改  删除
a21003	一氧化氮	mg/m3|kg	3	修改  删除
a21004	二氧化氮	mg/m3|kg	3	修改  删除
a21005	一氧化碳	mg/m3|kg	3	修改  删除
a21005z	一氧化碳折算	mg/m3|kg	3	修改  删除
a21017	氰化物(气)	mg/m3|kg	3	修改  删除
a21017z	氰化物折算	mg/m3|kg	3	修改  删除
a21018	氟化物	mg/m3|kg	3	修改  删除
a21018z	氟化物折算	mg/m3|kg	3	修改  删除
a21022	氯气	mg/m3|kg	3	修改  删除
a21024	氯化氢	mg/m3|kg	3	修改  删除
a21024z	氯化氢折算	mg/m3|kg	3	修改  删除
a21026	二氧化硫	mg/m3|kg	3	修改  删除
a21026z	二氧化硫折算	mg/m3|kg	3	修改  删除
a21028	硫化氢	mg/m3|kg	3	修改  删除
a21028z	硫化氢折算	mg/m3|kg	3	修改  删除
a23001	酚类	mg/m3|kg	3	修改  删除
a24003	二氯甲烷	mg/m3|kg	3	修改  删除
a24004	三氯甲烷	mg/m3|kg	3	修改  删除
a24005	四氯甲烷	mg/m3|kg	3	修改  删除
a24006	二溴一氯甲烷	mg/m3|kg	3	修改  删除
a24007	一溴二氯甲烷	mg/m3|kg	3	修改  删除
a24008	溴甲烷	mg/m3|kg	3	修改  删除
a24009	三溴甲烷	mg/m3|kg	3	修改  删除
a24015	氯乙烷	mg/m3|kg	3	修改  删除
a24016	1_1-二氯乙烷	mg/m3|kg	3	修改  删除
a24017	1_2-二氯乙烷	mg/m3|kg	3	修改  删除
a24018	1_1_1-三氯乙烷	mg/m3|kg	3	修改  删除
a24019	1_1_2-三氯乙烷	mg/m3|kg	3	修改  删除
a24020	1_1_2_2-四氯乙烷	mg/m3|kg	3	修改  删除
a24027	1_2-二氯丙烷	mg/m3|kg	3	修改  删除
a24034	1_2-二溴乙烷	mg/m3|kg	3	修改  删除
a24036	环己烷	mg/m3|kg	3	修改  删除
a24042	正己烷	mg/m3|kg	3	修改  删除
a24043	正庚烷	mg/m3|kg	3	修改  删除
a24046	氯乙烯	mg/m3|kg	3	修改  删除
a24047	1_1-二氯乙烯	mg/m3|kg	3	修改  删除
a24049	三氯乙烯	mg/m3|kg	3	修改  删除
a24050	四氯乙烯	mg/m3|kg	3	修改  删除
a24053	丙烯	mg/m3|kg	3	修改  删除
a24054	1_3-二氯丙烯	mg/m3|kg	3	修改  删除
a24072	1_4-二恶烷	mg/m3|kg	3	修改  删除
a24078	1_3-丁二烯	mg/m3|kg	3	修改  删除
a24087	碳氢化合物	mg/m3|kg	3	修改  删除
a24089	氯甲烷	mg/m3|kg	3	修改  删除
a24110	反式-1_2-二氯乙烯	mg/m3|kg	3	修改  删除
a24111	顺式-1_2-二氯乙烯	mg/m3|kg	3	修改  删除
a24112	反式-1_3-二氯丙烯	mg/m3|kg	3	修改  删除
a24113	六氯-1_3-丁二烯	mg/m3|kg	3	修改  删除
a25002	苯	mg/m3|kg	3	修改  删除
a25003	甲苯	mg/m3|kg	3	修改  删除
a25004	乙苯	mg/m3|kg	3	修改  删除
a25005	二甲苯	mg/m3|kg	3	修改  删除
a25006	1_2-二甲基苯	mg/m3|kg	3	修改  删除
a25007	1_3-二甲基苯	mg/m3|kg	3	修改  删除
a25008	1_4-二甲基苯	mg/m3|kg	3	修改  删除
a25010	氯苯	mg/m3|kg	3	修改  删除
a25011	1_2-二氯苯	mg/m3|kg	3	修改  删除
a25012	1_3-二氯苯	mg/m3|kg	3	修改  删除
a25013	1_4-二氯苯	mg/m3|kg	3	修改  删除
a25014	1-乙基-4-甲基苯	mg/m3|kg	3	修改  删除
a25015	1_2_4-三氯苯	mg/m3|kg	3	修改  删除
a25019	1_2_4-三甲基苯	mg/m3|kg	3	修改  删除
a25020	1_2_3-三甲基苯	mg/m3|kg	3	修改  删除
a25021	1_3_5-三甲基苯	mg/m3|kg	3	修改  删除
a25023	硝基苯	mg/m3|kg	3	修改  删除
a25038	乙烯基苯	mg/m3|kg	3	修改  删除
a25044	苯并[a]芘	mg/m3|kg	3	修改  删除
a25072	四氢呋喃	mg/m3|kg	3	修改  删除
a26001	苯胺类	mg/m3|kg	3	修改  删除
a29017	乙酸乙酯	mg/m3|kg	3	修改  删除
a29026	乙酸乙烯酯	mg/m3|kg	3	修改  删除
a30001	甲醇	mg/m3|kg	3	修改  删除
a30008	异丙醇	mg/m3|kg	3	修改  删除
a30022	硫醇	mg/m3|kg	3	修改  删除
a31001	甲醛	mg/m3|kg	3	修改  删除
a31002	乙醛	mg/m3|kg	3	修改  删除
a31024	丙酮	mg/m3|kg	3	修改  删除
a31025	2-丁酮	mg/m3|kg	3	修改  删除
a31030	甲基异丁基甲酮	mg/m3|kg	3	修改  删除
a34001	总悬浮颗粒物TSP	ng/m3|g	3	修改  删除
a34002	可吸入颗粒物PM10	ng/m3|g	3	修改  删除
a34004	细微颗粒物PM2.5	ng/m3|g	3	修改  删除
a34005	亚微米颗粒物PM1.0	ng/m3|g	3	修改  删除
a34011	降尘	t/km2*y|kg	3	修改  删除
a34013	烟尘	mg/m3|kg	3	修改  删除
a34013z	烟尘折算	mg/m3|kg	3	修改  删除
a34017	炭黑尘	mg/m3|kg	3	修改  删除
a34038	沥青烟	mg/m3|kg	3	修改  删除
a34038z	沥青烟折算	mg/m3|kg	3	修改  删除
a34039	硫酸雾	mg/m3|kg	3	修改  删除
a34040	铬酸雾	mg/m3|kg	3	修改  删除
a99010	丙烯腈	mg/m3|kg	3	修改  删除
a99049	光气	mg/m3|kg	3	修改  删除
a99054	TVOCs	mg/m3|kg	3	修改  删除
a99051	二氧化碳	mg/m3|kg	3	修改  删除
a05002	甲烷	mg/m3|kg	3	修改  删除
a24087	总烃	mg/m3|kg	3	修改  删除
a24088	非甲烷总烃	mg/m3|kg	3	修改  删除
a25002	苯	mg/m3|kg	3	修改  删除
a25003	甲苯	mg/m3|kg	3	修改  删除
a25004	乙苯	mg/m3|kg	3	修改  删除
a25005	二甲苯	mg/m3|kg	3	修改  删除
DI1	DI1	-|-	0	修改  删除
DI2	DI2	-|-	0	修改  删除
DI3	DI3	-|-	0	修改  删除
DI4	DI4	-|-	0	修改  删除
DI5	DI5	-|-	0	修改  删除
DO1	DO1	-|-	0	修改  删除
DO2	DO2	-|-	0	修改  删除
a00001	湿态烟气流量	m3/s|m3	3	修改  删除
S09
